age,xco2,xco2_16pc,xco2_84pc
3310.76,459.009788749287,427.979360549392,491.358145267418
3314.6,476.746145834881,444.805980880475,509.947575198621
3317.52,364.661213745271,340.438070205673,389.598398516548
3320.3,418.965042494049,392.048409753348,446.071943817731
3323.22,335.441236655154,313.098274889906,358.437584757647
3326.14,481.738639037206,449.492566132041,515.211210682992
3329.2,370.472012986538,345.702505756166,395.986378064096
3332.13,354.201801859081,330.636489203757,378.424789432439
4424.214,270.641840459934,253.48230095965,288.316949019636
4860.212,414.224946515176,360.83829605291,477.034727898372
5332.931,433.863067540649,403.643951954154,465.39527677518
5801.607,423.052221438678,384.06606660656,464.819704037651
5806.297,288.67757381513,270.431642594806,307.037604897348
6535.297,374.034476582678,349.148403870171,399.021926852613
7001.857,417.192701060387,388.55864216283,445.999914430527
8446.452,418.476489250509,386.805063040299,450.132805607668
8560.965,529.550602972352,481.119767810093,580.146527542742
9244.319,481.366217586024,440.416851282925,523.552420508888
9874.032,330.555210454305,302.418094058605,358.91487849673
10603.93,406.473058337128,353.633422627925,465.322018012517
11539.32,431.122797530247,386.842101567662,477.365066378919
11800,560.306873155611,507.08866969801,614.326489384705
12098.58,423.599813987695,379.256074991338,469.801914552811
12281.3236089635,420.159526453608,379.154696778106,461.405091363372
12519.84,357.971217358919,306.615075074211,415.589829978963
12718.9927345258,498.953960276347,449.180332453319,548.973606137266
13253.1864473111,551.043659579046,494.481905676013,608.2351052016
13476.8805825309,548.409223483956,491.395716049205,606.085772228663
13600,521.14155020647,467.076956296511,575.452394290577
13698.231,568.578782533734,509.160972906078,628.563025550754
13715.8954412812,539.897230184616,483.04316898354,597.272752290054
13735.675,579.246751090738,518.595553349236,640.471520881421
13740.526,515.459695879217,461.297782830519,569.955223581846
13766.295,690.855547190866,618.275763509763,764.297115078495
13785.623,649.526607798186,581.330039028579,718.426284948506
13798.508,718.912102056996,643.300228119788,795.322492696023
13832.8152872115,582.8608477001,521.005873937478,645.412632130131
14170.8559461185,609.00573070769,542.882921115296,676.862811465773
14310.722830004,621.739469821148,554.521719732151,689.597177947357
14796.0177629774,886.622675271227,783.52937906874,995.098060428716
14940,808.980348818678,719.788862010771,899.140020659989
15037.2334347014,772.794729355415,681.410471946872,869.09504155956
15541.3446057536,657.767959935028,581.014201378993,737.074131730305
15559.880621708,683.904855824449,606.323629678098,762.948135519306
15599.5538285503,986.628289046069,872.625665833517,1104.25182527825
15612.7704814786,1049.68655134754,931.399860947306,1170.44569915174
15625.9863059728,728.213232245555,645.11019159504,813.304994311549
15652.422949722,643.65543653426,567.933114376398,722.138831811357
15692.1190865328,627.017837377477,542.013612445821,720.189470973513
15718.6334988088,1104.34177029997,905.864711866127,1357.92331905309
15758.5210184465,636.362045568001,554.452154335068,723.519678383534
15771.8560666336,688.72762700092,596.490358995016,789.289023774066
15806.6408416427,1168.31146908255,1022.5649532426,1324.25702837186
15838.9217488025,970.230579501447,851.91855296351,1095.6786742439
15865.9714469122,932.289717179517,819.050659077552,1052.55140766218
