age_tuned,ISOBENbinned_d13Ccount,ISOBENbinned_d13C,ISOBENbinned_d13Cinterp,ISOBENbinned_d18Ocount,ISOBENbinned_d18O,ISOBENbinned_d18Ointerp,ISOBENd13cLOESSsmooth,ISOBENd18oLOESSsmooth,ISOBENLOESSsmooth_pts,ISOBENd13cLOESSsmoothLongTerm,ISOBENd18oLOESSsmoothLongTerm,ISOBENLOESSsmooth_pts
0.228,3,-0.660000016291936,-0.660000016291936,3,4.65666659673055,4.65666659673055,-0.53663802,4.6059117,10pts smooth,-0.52291578,4.4828472,500pts smooth
0.23,0,,-0.365000008294979,0,,4.6733333269755,-0.48605847,4.6656995,10pts smooth,-0.52226144,4.4821162,500pts smooth
0.232,1,-0.0700000002980232,-0.0700000002980232,1,4.69000005722045,4.69000005722045,-0.46448416,4.6556582,10pts smooth,-0.52161622,4.481391,500pts smooth
0.234,2,-0.734999984502792,-0.734999984502792,2,4.4150002002716,4.4150002002716,-0.50692385,4.5788631,10pts smooth,-0.52098036,4.4806714,500pts smooth
0.236,1,-0.879999995231628,-0.879999995231628,1,4.61999988555908,4.61999988555908,-0.56343395,4.4672689,10pts smooth,-0.52035409,4.4799576,500pts smooth
0.238,3,-0.586666653553644,-0.586666653553644,3,4.32666667302449,4.32666667302449,-0.56890881,4.3163114,10pts smooth,-0.5197376,4.479249,500pts smooth
0.24,1,0,0,1,4.09999990463256,4.09999990463256,-0.57916117,4.1726341,10pts smooth,-0.51913106,4.4785461,500pts smooth
0.242,2,-0.985000014305114,-0.985000014305114,2,4.30999994277954,4.30999994277954,-0.69039643,4.0905805,10pts smooth,-0.51853484,4.477849,500pts smooth
0.244,4,-0.797499993816018,-0.797499993816018,4,3.65749996900558,3.65749996900558,-0.7991991,4.0854993,10pts smooth,-0.51794904,4.4771566,500pts smooth
0.246,4,-0.999999985098838,-0.999999985098838,4,4.31250005960464,4.31250005960464,-0.78433114,4.2529569,10pts smooth,-0.51737386,4.47647,500pts smooth
0.248,1,-0.639999985694885,-0.639999985694885,1,4.69999980926513,4.69999980926513,-0.7234441,4.4733915,10pts smooth,-0.51680964,4.4757886,500pts smooth
0.25,1,-0.540000021457672,-0.540000021457672,1,4.55999994277954,4.55999994277954,-0.64105493,4.6980686,10pts smooth,-0.51625651,4.475112,500pts smooth
0.252,2,-0.454999983310699,-0.454999983310699,2,4.95499992370605,4.95499992370605,-0.56622249,4.8832335,10pts smooth,-0.5157147,4.4744406,500pts smooth
0.254,1,-0.709999978542327,-0.709999978542327,1,4.96999979019165,4.96999979019165,-0.5536868,4.9270973,10pts smooth,-0.5151844,4.4737744,500pts smooth
0.256,3,-0.60666666428248,-0.60666666428248,3,4.89666652679443,4.89666652679443,-0.55492139,4.9196076,10pts smooth,-0.51466596,4.4731126,500pts smooth
0.258,4,-0.475000001490116,-0.475000001490116,4,4.875,4.875,-0.50022572,4.8619308,10pts smooth,-0.51415944,4.472456,500pts smooth
0.26,4,-0.447500001639127,-0.447500001639127,4,4.74749994277954,4.74749994277954,-0.48273018,4.7931991,10pts smooth,-0.51366514,4.4718041,500pts smooth
0.262,3,-0.500000009934107,-0.500000009934107,3,4.75333325068156,4.75333325068156,-0.61642188,4.7743583,10pts smooth,-0.5131833,4.4711571,500pts smooth
0.264,4,-0.779999978840351,-0.779999978840351,4,4.80750012397766,4.80750012397766,-0.80505145,4.775908,10pts smooth,-0.51271415,4.4705143,500pts smooth
0.266,2,-1.16000002622604,-1.16000002622604,2,4.79500007629394,4.79500007629394,-1.0475798,4.8180394,10pts smooth,-0.51224655,4.4698811,500pts smooth
0.268,5,-1.23599998950958,-1.23599998950958,5,4.84999990463256,4.84999990463256,-1.2619886,4.8639469,10pts smooth,-0.51176971,4.4692621,500pts smooth
0.27,4,-1.43500000238418,-1.43500000238418,4,4.92000007629394,4.92000007629394,-1.3417605,4.885716,10pts smooth,-0.51128423,4.468657,500pts smooth
